Università,ID,Classe,ID
Bari ,70002,antropologia culturale ed etnologia,11001
Bari Politecnico ,70048,archeologia,11002
Basilicata ,70038,architettura del paesaggio,11003
Bergamo ,70051,architettura e ingegneria edile-architettura,11004
Bologna ,70003,archivistica e biblioteconomia,11005
Bolzano ,70130,biologia,11006
Brescia ,70046,biotecnologie agrarie,11007
Cagliari ,70004,biotecnologie industriali,11008
Calabria ,70005,"biotecnologie mediche, veterinarie e farmaceutiche",11009
Camerino ,70006,scienze per la conservazione dei beni culturali,11012
Campania Luigi Vanvitelli ,70049,informazione e sistemi editoriali,11013
Cassino e Lazio Meridionale ,70007,"filologia,  letterature e storia dell'antichità",11015
Catania ,70008,finanza,11019
Catanzaro ,70125,fisica,11020
Chieti e Pescara ,70053,scienze geografiche,11021
Enna Kore ,70146,informatica,11023
Ferrara ,70009,metodologie informatiche per le discipline umanistiche,11024
Firenze ,70010,ingegneria aerospaziale e astronautica,11025
Foggia ,70129,ingegneria biomedica,11026
Genova ,70011,ingegneria chimica,11027
Insubria ,70135,ingegneria civile,11028
LAquila ,70055,ingegneria dell'automazione,11029
LIUC Carlo Cattaneo ,70050,ingegneria delle telecomunicazioni,11030
LUM Giuseppe Degennaro ,70137,ingegneria elettrica,11031
Macerata ,70013,ingegneria elettronica,11032
Marche Politecnica ,70001,ingegneria energetica e nucleare,11033
Messina ,70014,ingegneria gestionale,11034
Milano ,70015,ingegneria informatica,11035
Milano Bicocca ,70132,ingegneria meccanica,11036
Milano IULM ,70058,ingegneria navale,11037
Milano Vita-Salute S. Raffaele ,70119,ingegneria per l'ambiente e il territorio,11038
Modena e Reggio Emilia ,70017,lingue e letterature dell'Africa e dell'Asia,11041
Molise ,70039,lingue e letterature moderne europee e americane,11042
Napoli Benincasa ,70059,lingue moderne per la comunicazione e la cooperazione internazionale,11043
Napoli Federico II ,70018,linguistica,11044
Napoli L’Orientale ,70042,matematica,11045
Napoli Parthenope ,70041,modellistica matematico-fisica per l'ingegneria,11050
Padova ,70019,musicologia e beni musicali,11051
Palermo ,70020,organizzazione e gestione dei servizi per lo sport e le attività motorie,11053
Parma ,70021,pianificazione territoriale urbanistica e ambientale,11054
Pavia ,70022,progettazione e gestione dei sistemi turistici,11055
Perugia ,70023,programmazione e gestione dei servizi educativi,11056
Perugia Stranieri ,70099,servizio sociale e politiche sociali,11057
Piemonte Orientale ,70136,psicologia,11058
Pisa ,70024,relazioni internazionali,11060
Reggio Calabria Mediterranea ,70047,scienza e ingegneria dei materiali,11061
Roma Campus Bio-Medico ,70110,scienze chimiche,11062
Roma Europea ,70147,scienze cognitive,11063
Roma Foro Italico ,70121,scienze dell'economia,11064
Roma LUMSA ,70060,scienze dell'educazione degli adulti e della formazione continua,11065
Roma Sapienza ,70026,scienze dell'universo,11066
Roma Tor Vergata ,70027,scienze della natura,11068
Roma Tre ,70117,scienze della nutrizione umana,11069
Roma UniCamillus ,70303,scienze della politica,11070
Roma UNINT ,70220,scienze delle pubbliche amministrazioni,11071
Salento ,70012,scienze delle religioni,11072
Salerno ,70028,scienze dello spettacolo e produzione multimediale,11073
Sannio ,70124,scienze e tecnologie forestali ed ambientali,11074
Sassari ,70029,scienze e tecniche dello sport,11075
Scienze Gastronomiche ,70145,scienze e tecniche delle attività motorie preventive e adattate,11076
Siena ,70030,scienze e tecnologie agrarie,11077
Siena Stranieri ,70097,scienze e tecnologie alimentari,11078
Teramo ,70118,scienze zootecniche e tecnologie animali,11079
Torino ,70031,scienze e tecnologie della navigazione,11080
Torino Politecnico ,70032,scienze e tecnologie della chimica industriale,11081
Trento ,70062,scienze e tecnologie per l'ambiente e il territorio,11082
Trieste ,70033,scienze economiche per l'ambiente e la cultura,11083
Tuscia ,70035,scienze economico-aziendali,11084
Udine ,70034,scienze geofisiche,11085
Urbino Carlo Bo ,70063,scienze e tecnologie geologiche,11086
Valle d’Aosta ,70141,scienze pedagogiche,11087
Venezia Ca’ Foscari ,70036,scienze per la cooperazione allo sviluppo,11088
Venezia IUAV ,70037,scienze statistiche attuariali e finanziarie,11091
Verona ,70040,storia dell'arte,11095
,,studi europei,11099
,,tecniche e metodi per la società dell'informazione,11100
,,teorie della comunicazione,11101
,,design,11103
,,scienze della difesa e della sicurezza,11105
,,scienze infermieristiche e ostetriche,11106
,,scienze riabilitative delle professioni sanitarie,11107
,,scienze delle professioni sanitarie tecniche,11108
,,scienze delle professioni sanitarie della prevenzione,11109
,,scienze filosofiche,11200
,,filologia moderna,11201
,,scienze statistiche,11202
,,"scienze della comunicazione pubblica,  d'impresa e pubblicità",11203
,,sociologia e ricerca sociale,11204
,,scienze storiche,11205
,,traduzione specialistica e interpretariato,11206
,,giurisprudenza,11207
,,ingegneria dei sistemi edilizi,11208
,,ingegneria della sicurezza,11209
,,sicurezza informatica,11210
,,teorie e metodologie dell'e-learning e della media education,11211
